Rank,Name,Poss,Offense,Defense,Above Avg,Above Rep,off/100,Def/100,Ovr/100
1,LeBron James,74244.5,3511,676.2,4178.2,5663.1,4.73,0.91,5.63
2,Tim Duncan,97471.1,1949.5,3010.5,4962.5,6911.9,2,3.09,5.09
3,Shaquille O'Neal,72099.3,2738.8,935.6,3664.8,5106.8,3.8,1.3,5.08
4,Manu Ginobili,50847.5,1945,637.9,2578.4,3595.3,3.83,1.25,5.07
5,Kevin Garnett,99254.5,1690.9,3035.8,4718.9,6703.9,1.7,3.06,4.75
6,David Robinson,28623.7,191.5,1099.4,1291.4,1863.9,0.67,3.84,4.51
7,Dwyane Wade,60255.5,2482.3,221.6,2699.9,3905,4.12,0.37,4.48
8,Patrick Beverley,6384,145.9,132.4,278.3,406,2.29,2.07,4.36
9,Dirk Nowitzki,93820.4,3123.8,843.8,3955.9,5832.3,3.33,0.9,4.22
10,John Stockton,34711.1,824,622.4,1452,2146.2,2.37,1.79,4.18
11,Chris Paul,46128,1559.7,312.3,1874,2796.6,3.38,0.68,4.06
12,Jeff Hornacek,20354.5,715.7,102.9,820,1227.1,3.52,0.51,4.03
13,Terry Mills,9628,239.9,125.6,365.5,558,2.49,1.3,3.8
14,Alonzo Mourning,32820.8,330.7,899.5,1226.6,1883,1.01,2.74,3.74
15,Gheorghe Muresan,4261.5,31,125.6,156.5,241.8,0.73,2.95,3.67
16,Byron Scott,3046.1,95,16.8,111.5,172.4,3.12,0.55,3.66
17,Amir Johnson,22662,226,602.2,827.4,1280.6,1,2.66,3.65
18,Michael Jordan,24528.6,668,215.6,883.5,1374,2.72,0.88,3.6
19,Detlef Schrempf,18989.4,541.4,130.3,672,1051.8,2.85,0.69,3.54
20,Clyde Drexler,10887.5,170.4,214.1,384.5,602.2,1.57,1.97,3.53
21,Bo Outlaw,33730.2,159,1032.9,1182.6,1857.2,0.47,3.06,3.51
22,Mookie Blaylock,26487.7,610.8,313.2,922.5,1452.2,2.31,1.18,3.48
23,Arvydas Sabonis,20793.3,229.5,485.8,718.8,1134.7,1.1,2.34,3.46
24,Blake Griffin,24596.5,640,219.6,848.6,1340.5,2.6,0.89,3.45
25,Nate McMillan,2255.7,27.2,48.9,76,121.1,1.21,2.17,3.37
26,Rasheed Wallace,74512.7,865.3,1659.6,2503.4,3993.7,1.16,2.23,3.36
27,Vlade Divac,40772.2,289.6,1061.6,1346.5,2161.9,0.71,2.6,3.3
28,LaMarcus Aldridge,42063.5,641.1,712.7,1347.6,2188.8,1.52,1.69,3.2
29,Ryan Robertson,49,-0.7,-0.7,1.5,2.5,-1.5,-1.5,3
30,Dwight Howard,59626.5,616.2,1170,1776.8,2969.3,1.03,1.96,2.98
31,Kobe Bryant,105015.3,3449.8,-332.2,3110.3,5210.6,3.29,-0.32,2.96
32,Chris Bosh,59155.5,1016.4,696.3,1711,2894.1,1.72,1.18,2.89
33,Ron Harper,19216.4,123.4,424.3,547.7,932,0.64,2.21,2.85
34,James Harden,27225.5,1003.1,-240.5,762.4,1306.9,3.68,-0.88,2.8
35,Steve Nash,84069.1,3022.9,-684.9,2331.7,4013.1,3.6,-0.81,2.77
36,Metta World Peace,64809.3,376.3,1422.3,1785,3081.2,0.58,2.19,2.75
37,Josh Howard,33209,648,255.9,911.3,1575.5,1.95,0.77,2.74
38,Luol Deng,51386.5,346.4,1057.4,1402.4,2430.1,0.67,2.06,2.73
39,Paul Millsap,36808.5,451.3,547,981.9,1718,1.23,1.49,2.67
40,Baron Davis,58821,1500.3,67.5,1564.9,2741.4,2.55,0.11,2.66
41,Nene Hilario,43725.5,72.4,1099.8,1158.6,2033.1,0.17,2.52,2.65
42,Vince Carter,80677.2,1436.8,716.9,2135.5,3749,1.78,0.89,2.65
43,Charles Barkley,14024.9,536.9,-164.9,371.1,651.5,3.83,-1.18,2.65
44,Dikembe Mutombo,45924.6,-690.3,1882.7,1189.7,2108.2,-1.5,4.1,2.59
45,Karl Malone,47288.3,1523.6,-294.8,1223.8,2169.6,3.22,-0.62,2.59
46,Jason Kidd,96563.2,1612.6,901,2494.9,4426.2,1.67,0.93,2.58
47,Nick Collison,35079,350.2,544.3,887.3,1588.9,1,1.55,2.53
48,Stephen Curry,26551.5,599.2,74.2,667.9,1198.9,2.26,0.28,2.52
49,Shawn Bradley,26774.8,-187.9,847.7,662,1197.5,-0.7,3.17,2.47
