name,hgt,stre,spd,jmp,endu,ins,dnk,ft,fg,tp,diq,oiq,drb,pss,reb,ovr,new_ovr,diff,hgt_auto,stre_auto,spd_auto,jmp_auto,endu_auto,ins_auto,dnk_auto,ft_auto,fg_auto,tp_auto,diq_auto,oiq_auto,drb_auto,pss_auto,reb_auto,ovr_auto,new_ovr_auto,diff_auto,AUTOdiff
A.J. Lawson,45,22,60,52,33,28,63,35,42,39,28,46,52,47,37,42.44388,44.5540049846115,2.1101249846115024,45,22,60,52,33,28,63,35,42,39,28,46,52,47,37,42.44388,44.5540049846115,2.1101249846115024,0.0
A.J. Reeves,44,29,53,37,35,42,42,40,47,46,40,45,43,32,43,41.93818,41.62479941092363,-0.3133805890763739,44,29,53,37,35,42,42,40,47,46,40,45,43,32,43,41.93818,41.62479941092363,-0.3133805890763739,0.0
Aaron Gordon,58,66,61,90,54,75,79,45,49,58,39,52,55,49,90,57.397079999999995,61.12834152192064,3.7312615219206435,58,66,61,90,54,75,79,45,49,58,39,52,55,49,90,57.397079999999995,61.12834152192064,3.7312615219206435,0.0
Aaron Henry,44,40,53,44,30,43,47,40,51,50,39,35,48,38,45,42.51788,43.41190435252071,0.8940243525207094,44,40,53,44,30,43,47,40,51,50,39,35,48,38,45,42.51788,43.41190435252071,0.8940243525207094,0.0
Aaron Holiday,25,35,61,57,46,21,59,27,62,61,42,47,69,59,28,46.92258,47.06020977832333,0.1376297783233298,25,35,61,57,46,21,59,27,62,61,42,47,69,59,28,46.92258,47.06020977832333,0.1376297783233298,0.0
Aaron Nesmith,44,38,57,36,33,48,39,60,55,49,30,38,36,39,47,41.18368,42.1095413916444,0.9258613916443963,44,38,57,36,33,48,39,60,55,49,30,38,36,39,47,41.18368,42.1095413916444,0.9258613916443963,0.0
Abdel Nader,46,58,51,44,39,48,57,55,50,58,47,52,40,38,46,48.85108,47.816715603427056,-1.034364396572947,46,58,51,44,39,48,57,55,50,58,47,52,40,38,46,48.85108,47.816715603427056,-1.034364396572947,0.0
Abdoulaye N'Doye,51,30,50,46,32,23,46,0,36,35,33,31,49,42,41,39.16668,40.8512268440995,1.6845468440995006,51,30,50,46,32,23,46,0,36,35,33,31,49,42,41,39.16668,40.8512268440995,1.6845468440995006,0.0
Adam Miller,37,13,61,48,38,28,29,39,38,46,17,42,48,43,13,37.279180000000004,40.0997648142831,2.8205848142830945,37,13,61,48,38,28,29,39,38,46,17,42,48,43,13,37.279180000000004,40.0997648142831,2.8205848142830945,0.0
Adam Mokoka,40,22,66,64,24,18,62,35,57,58,21,30,40,42,21,39.38588,43.437043802325064,4.051163802325064,40,22,66,64,24,18,62,35,57,58,21,30,40,42,21,39.38588,43.437043802325064,4.051163802325064,0.0
