team,num,name,pos,hgt,weight,dob,exp,college
ATL,20,Alex Bentley,G,7-May,152,27-Oct-90,6,PENN STATE/USA
ATL,25,Monique Billings,F,4-Jun,185,2-May-96,1,UCLA
ATL,51,Jessica Breland,F,2-Jun,166,23-Feb-88,7,NORTH CAROLINA/USA
ATL,5,Maite Cazorla,G,10-May,155,18-Jun-97,R,OREGON
ATL,81,Alaina Coates,C,4-Jun,225,7-Apr-95,1,SOUTH CAROLINA
ATL,10,Nia Coffey,F,1-Jun,182,11-Jun-95,2,NORTHWESTERN
ATL,24,Marie Gülich,C,5-Jun,205,28-May-94,1,OREGON STATE
ATL,15,Tiffany Hayes,G,10-May,155,20-Sep-89,7,CONNECTICUT/USA
ATL,35,Angel McCoughtry,F-G,1-Jun,173,10-Sep-86,9,LOUISVILLE/USA
ATL,21,Renee Montgomery,G,7-May,140,2-Dec-86,10,CONNECTICUT/USA
ATL,7,Brittney Sykes,G,9-May,154,7-Feb-94,2,SYRACUSE
ATL,1,Elizabeth Williams,C-F,3-Jun,200,23-Jun-93,4,DUKE
CHI,2,Kahleah Copper,G-F,1-Jun,155,28-Aug-94,3,RUTGERS
CHI,1,Diamond DeShields,G,1-Jun,163,5-Mar-95,1,TENNESSEE
CHI,31,Stefanie Dolson,C,5-Jun,231,8-Jan-92,5,CONNECTICUT
CHI,21,Jamierra Faulkner,G,6-May,138,9-Mar-92,4,SOUTHERN MISSISSIPPI
CHI,0,Chloe Jackson,G,8-May,147,21-Aug-96,R,BAYLOR
CHI,7,Jantel Lavender,F-C,4-Jun,185,12-Nov-88,8,OHIO STATE/USA
CHI,45,Astou Ndour,C,5-Jun,150,22-Aug-94,3,SENEGAL
CHI,32,Cheyenne Parker,F,4-Jun,193,22-Aug-92,4,MIDDLE TENNESSEE STATE
CHI,14,Allie Quigley,G,10-May,140,20-Jun-86,10,DEPAUL/USA
CHI,33,Katie Lou Samuelson,G-F,3-Jun,169,13-Jun-97,R,CONNECTICUT
CHI,22,Courtney Vandersloot,G,8-May,145,8-Feb-89,8,GONZAGA/USA
CHI,15,Gabby Williams,F,11-May,172,9-Sep-96,1,CONNECTICUT
PHO,31,Kristine Anigwe,F-C,4-Jun,200,31-Mar-97,R,CALIFORNIA
PHO,1,Rachel Banham,G,9-May,168,15-Jul-93,3,MINNESOTA
PHO,23,Layshia Clarendon,G,9-May,158,2-May-91,6,CALIFORNIA/USA
PHO,2,Natisha Hiedeman,G,7-May,125,10-Feb-97,R,MARQUETTE
PHO,32,Bria Holmes,G,1-Jun,170,19-Apr-94,2,WEST VIRGINIA
PHO,35,Jonquel Jones,F-C,6-Jun,190,5-Jan-94,3,GEORGE WASHINGTON
PHO,42,Brionna Jones,F,3-Jun,230,18-Dec-95,2,MARYLAND
PHO,40,Shekinna Stricklen,G-F,2-Jun,178,30-Jul-90,7,TENNESSEE/USA
PHO,25,Alyssa Thomas,F,2-Jun,185,12-Apr-92,5,MARYLAND
PHO,5,Jasmine Thomas,G,9-May,145,30-Sep-89,8,DUKE/USA
PHO,33,Morgan Tuck,F,2-Jun,200,30-Apr-94,3,CONNECTICUT
PHO,10,Courtney Williams,G,8-May,136,11-May-94,3,SOUTH FLORIDA
IND,11,Natalie Achonwa,F-C,3-Jun,190,22-Nov-92,4,NOTRE DAME
IND,25,Kennedy Burke,G,1-Jun,182,14-Feb-97,R,UCLA
IND,4,Candice Dupree,F,2-Jun,178,16-Aug-84,13,TEMPLE/USA
IND,42,Shenise Johnson,G,11-May,172,8-Dec-90,6,MIAMI (FLA.)/USA
IND,7,Paris Kea,G,9-May,142,7-Apr-96,R,NORTH CAROLINA
IND,44,Betnijah Laney,G,Jun-00,160,29-Oct-93,3,RUTGERS
IND,23,Stephanie Mavunga,F,3-Jun,205,24-Feb-95,1,OHIO STATE
IND,22,Erica McCall,F,2-Jun,184,21-Aug-95,2,STANFORD
IND,15,Teaira McCowan,C,7-Jun,239,28-Sep-96,R,MISSISSIPPI STATE
IND,3,Tiffany Mitchell,G,9-May,152,23-Sep-94,3,SOUTH CAROLINA
IND,0,Kelsey Mitchell,G,8-May,151,12-Nov-95,1,OHIO STATE
IND,35,Victoria Vivians,G,1-Jun,183,17-Nov-94,1,MISSISSIPPI STATE
IND,17,Erica Wheeler,G,7-May,143,2-May-91,4,RUTGERS
NYL,9,Rebecca Allen,G,2-Jun,162,6-Nov-92,4,AUSTRALIA
NYL,15,Brittany Boyd,G,9-May,156,11-Jun-93,4,CALIFORNIA
NYL,31,Tina Charles,C,4-Jun,192,5-Dec-88,9,CONNECTICUT/USA
NYL,25,Asia Durr,G,10-May,151,5-Apr-97,R,LOUISVILLE
NYL,12,Reshanda Gray,F,2-Jun,192,1-Jun-93,2,CALIFORNIA
NYL,14,Bria Hartley,G,8-May,148,30-Sep-92,5,CONNECTICUT
NYL,23,Marine Johannes,G,10-May,134,21-Jan-95,R,FRANCE/FRANCE
NYL,5,Kia Nurse,G,Jun-00,168,22-Feb-96,1,CONNECTICUT
NYL,4,Nayo Raincock-Ekunwe,F-C,2-Jun,175,29-Aug-91,1,SIMON FRASER (CANADA)
NYL,30,Tanisha Wright,G,11-May,166,29-Nov-83,13,PENN STATE/USA
NYL,21,Han Xu,C,9-Jun,193,1-Oct-99,R,CHINA/CHINA
NYL,17,Amanda Zahui B,C,5-Jun,250,8-Sep-93,4,MINNESOTA
WAS,7,Ariel Atkins,G,8-May,167,30-Jul-96,1,TEXAS
WAS,9,Natasha Cloud,G,9-May,160,22-Feb-92,4,ST. JOSEPH'S (PA)
